areaSqm,longitude,latitude,propertyType,rent
35,5.909055,51.979831,Apartment,595
50,5.891116,51.958137,Apartment,710
13,4.369936,52.016155,Room,310
26,4.496725,52.158204,Room,420
15,4.857656,52.370748,Room,800
19,5.494742,51.422105,Room,550
24,4.665901,52.317769,Room,550
22,5.965718,51.994626,Room,490
13,5.965718,51.994626,Room,395
15,4.406313,51.909829,Room,450
15,4.955081,52.319254,Room,650
32,5.080765,51.896365,Room,475
25,4.844196,52.373691,Room,950
18,4.795157,52.354612,Room,850
7,6.574323,53.220119,Apartment,325
65,4.453386,51.916843,Studio,920
12,4.860247,52.373174,Room,675
10,4.795157,52.354612,Room,780
13,5.917838,51.991881,Room,320
25,4.980866,52.346753,Room,610
10,4.855713,52.353391,Room,600
14,4.504933,52.163398,Room,425
26,6.568371,53.221693,Room,410
20,5.66828,50.852992,Studio,340
20,5.66828,50.852992,Studio,340
20,5.66828,50.852992,Studio,310
20,5.66828,50.852992,Studio,310
20,5.66828,50.852992,Studio,310
18,5.66828,50.852992,Room,250
40,5.483675,51.439186,Room,625
18,4.373774,52.008235,Room,360
10,4.947535,52.325043,Room,550
10,4.77904,52.342946,Room,380
14,5.071143,51.568064,Room,300
20,5.949394,52.212066,Room,290
8,4.900007,52.352962,Room,647
16,6.923801,52.222372,Room,240
7,6.552606,53.211612,Room,195
12,4.840655,52.367044,Room,1200
9,6.882407,52.206424,Room,200
80,4.456114,52.151302,Apartment,1350
35,4.125227,51.835437,Room,550
25,6.696797,52.265836,Anti-squat,255
35,5.081073,51.547973,Room,480
16,6.891942,52.224819,Room,350
13,6.872902,52.192765,Room,250
12,5.702747,50.852072,Room,325
12,4.355043,52.016319,Room,355
20,4.939771,52.359569,Room,650
8,4.799335,52.263126,Room,1
20,4.510399,51.898246,Apartment,400
107,4.92661,52.367846,Apartment,2750
109,5.493681,51.477364,Apartment,1250
19,5.069458,51.565092,Room,400
90,5.393563,51.403791,Apartment,1450
85,5.489005,51.426261,Apartment,1445
90,4.947711,52.376869,Apartment,1725
60,5.417136,51.494458,Apartment,1350
140,5.468368,51.399476,Apartment,1350
20,4.466504,51.912857,Room,450
60,4.812834,52.348334,Apartment,1500
15,5.150272,52.215812,Room,500
60,4.837187,52.36611,Apartment,1400
76,4.828112,52.373063,Apartment,2200
35,5.391946,52.003393,Apartment,765
70,5.844389,51.820197,Apartment,1040
25,4.469248,51.928803,Room,525
8,4.54719,51.940584,Room,499
28,6.116555,52.245542,Room,475
