,areaSqm,latitude,longitude,propertyType,rent,shared
50,15,51.922734000000005,4.499649,Room,275,1
51,15,52.321653000000005,4.979319,Room,550,1
52,14,51.938809,4.540799,Room,490,1
53,70,51.893246000000005,4.495439,Apartment,1000,0
54,12,51.690447999999996,5.300464,Room,310,1
55,54,52.151834,5.438929,Apartment,825,0
56,15,52.368857,4.907587,Room,750,1
57,15,52.147788,4.483073,Room,330,1
58,10,52.300546000000004,4.986728,Room,500,1
59,29,51.905459,4.453957,Room,530,1
60,18,52.00991,4.35235,Room,285,0
61,29,52.10918,4.282136,Studio,500,1
62,25,51.572428,5.311514,Studio,500,0
63,23,52.10918,4.282136,Studio,600,0
64,18,52.206876,6.801741000000001,Room,280,1
65,18,52.206876,6.801741000000001,Room,310,1
66,18,52.223273999999996,6.9060880000000004,Room,250,1
67,16,52.224202000000005,6.891383,Room,275,1
68,15,52.067245,4.2988550000000005,Room,425,0
69,20,52.333385,4.783328,Room,500,1
70,22,52.082347999999996,5.126793,Room,443,1
71,51,51.891985,4.467344000000001,Apartment,975,0
72,18,52.016483,5.540668,Room,390,0
73,10,51.565149,5.099437,Room,479,1
74,45,53.218157,6.573502,Apartment,995,0
75,14,52.368091,4.87584,Room,800,0
76,16,52.360034000000006,4.792457,Room,850,1
77,13,52.06057,4.300775,Room,500,0
78,12,52.305533000000004,4.863128,Room,400,1
